chr1:3425974-3426242	chr1:68050553-68050790	chr1:204257416-204257780	chr1:242056982-242057313	chr2:214011-214245	chr2:53859639-53860129	chr2:87825666-87825915	chr2:107544245-107544456	chr4:5568408-5568624	chr4:88697613-88697903	chr4:150582859-150583933	chr4:185638877-185639207	chr5:1277352-1277598	chr5:1339547-1339967	chr5:1416677-1416889	chr5:28809293-28810413	chr5:179257325-179257658	chr5:179559512-179559998	chr6:27871920-27872291	chr6:134176398-134176618	chr6:155218841-155219059	chr6:167719954-167720212	chr6:168535772-168535984	chr6:170275003-170275219	chr7:376426-376627	chr7:635932-636458	chr7:2020272-2020496	chr7:10779678-10780083	chr7:23490815-23491071	chr7:64192252-64192584	chr7:157594361-157594630	chr7:157784993-157785250	chr8:1026015-1026416	chr8:8963256-8963602	chr8:11613505-11613740	chr8:22010221-22010693	chr8:22056764-22057014	chr8:132129318-132129569	chr8:143379802-143380091	chr8:144270459-144270724	chr9:13323113-13323351	chr9:95313136-95313459	chr9:133701451-133701774	chr9:134049340-134049554	chr9:137217297-137217540	chr10:413752-414118	chr10:479779-480101	chr10:104268766-104269289	chr10:132924714-132925200	chr11:32437876-32438332	chr11:47378237-47378455	chr11:48968624-48968933	chr11:64085331-64085610	chr11:95150171-95150401	chr11:117481976-117482246	chr11:128451766-128452000	chr12:111037149-111037438	chr12:124387589-124387873	chr13:52195421-52195743	chr13:112036871-112037219	chr13:113023313-113023522	chr14:101442444-101442685	chr15:26628950-26629381	chr15:52794432-52794661	chr15:52795014-52795291	chr16:1027527-1027772	chr16:2036419-2036891	chr16:4680261-4680486	chr16:19183561-19183887	chr16:28740761-28741011	chr16:49638532-49638814	chr16:59754888-59755168	chr16:72787241-72787693	chr16:85948046-85948359	chr16:88103639-88103992	chr17:78450564-78450788	chr17:79942885-79943117	chr18:10589152-10589389	chr18:37336749-37336952	chr18:50268080-50268626	chr18:78313274-78313558	chr18:80147414-80147683	chr19:3387965-3388205	chr19:40623942-40624207	chr19:42199452-42199824	chr19:45677962-45678197	chr19:51887588-51888115	chr20:19974892-19975390	chr20:20452461-20452685	chr20:43513918-43514127	chr20:43514570-43514951	chr21:41756502-41756734	chr21:42106460-42106707	chr21:45984194-45984398	chr22:11598866-11599125	chr22:46439087-46439388	chr22:48646559-48646820	chr22:49102438-49102653	chrX:663882-664104	chrX:30247055-30247438	chrX:34131147-34131369
K562.pool70.S1.FF.TTCCCG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.G.TGACCA	1	0.727272727272727	0	0.275862068965517	0.142857142857143	0.888888888888889	0.428571428571429	0.166666666666667	0	1	1	NA	0	0.9375	0	0	0	0.95	0.948717948717949	0.916666666666667	0.433333333333333	0	NA	0.102564102564103	0.0512820512820513	0	0.166666666666667	0	0.875	0	0.285714285714286	0.0185185185185185	0	1	0.1	1	NA	0	NA	0.916666666666667	0	1	0.0625	1	0.105263157894737	0	0	1	0	NA	NA	NA	0.962962962962963	NA	0	NA	0	0.923076923076923	1	0.142857142857143	0	0.285714285714286	NA	0.0833333333333333	0.285714285714286	0	0.979166666666667	0.950980392156863	0.2	1	0	0	0.777777777777778	0	0	0	0	0	0	NA	0	1	NA	0	NA	1	0.909090909090909	NA	NA	0.274509803921569	0.709677419354839	0	0	0	0	0	0	0	NA	0	NA
K562.pool70.S1.GG.GATCAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.H.CAGATC	0	NA	0.0588235294117647	0.375	NA	0.675675675675676	NA	0	0.0625	0.909090909090909	0.851063829787234	0	0.529411764705882	0.9	NA	0	NA	0.666666666666667	1	0.916666666666667	NA	0	NA	0.0333333333333333	0	0	0	NA	NA	NA	0	0	NA	0.875	NA	NA	NA	NA	0.142857142857143	1	0.25	NA	0	1	NA	NA	NA	NA	0.285714285714286	NA	0	0	1	1	NA	NA	0	0.8	1	NA	NA	0	0	NA	0.158730158730159	0	0.942307692307692	0.923076923076923	0.153846153846154	1	0.111111111111111	0	1	0	0	0	0.133333333333333	0	0	NA	NA	1	0.96875	NA	0	1	0.904761904761905	NA	0	NA	0	0	0.166666666666667	NA	0.0277777777777778	0	NA	0	NA	0.0123456790123457	NA
K562.pool70.S1.HH.GCACTT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.I.CTTGTA	0.148148148148148	0.888888888888889	0	0	0.25	0.958333333333333	NA	NA	NA	NA	NA	NA	NA	0.888888888888889	0.375	0	NA	0.976190476190476	1	1	1	0	0	0	NA	0	0.75	0	0	NA	0.151515151515151	NA	0	NA	0.166666666666667	1	0	0.25	0	NA	0	NA	0	NA	0	0	0	0.941176470588235	0	NA	0	0	0.571428571428571	1	0.227272727272727	NA	NA	0.813725490196078	1	NA	NA	NA	0	0.0909090909090909	NA	NA	0.9375	1	0	NA	0.153846153846154	0	1	0	0	NA	0	0	NA	0.95	0	NA	NA	0	0.0625	NA	0.962962962962963	NA	0.133333333333333	NA	1	0.25	NA	0	0.0416666666666667	NA	0	NA	0	0.2	NA
K562.pool70.S1.J.GACGAG	0.111111111111111	NA	0.2	NA	NA	NA	0	NA	NA	NA	0.943181818181818	NA	0	0.75679012345679	0	0.0625	0	0.875	NA	0.894736842105263	0	NA	0.142857142857143	NA	NA	0	NA	0	1	0.142857142857143	NA	0	0	0.833333333333333	0.3	0.995535714285714	0.5	0	0.444444444444444	NA	NA	1	0.272727272727273	NA	0.0555555555555556	0	0	1	0	1	NA	0.25	1	NA	NA	NA	NA	1	1	NA	0	0	0.0344827586206897	0.3	0	0.25	0.875	0.884615384615385	0.195238095238095	NA	0	0	0.75	0	0	NA	0.125	0	0	NA	NA	NA	1	NA	0	NA	1	0.027027027027027	NA	0.9375	0.166666666666667	0.5	0.0833333333333333	0.727272727272727	NA	0	0	NA	0.111111111111111	NA	NA
K562.pool70.S1.K.AAGGTC	0.4	NA	NA	0	0	NA	0.1	NA	NA	1	0.977777777777778	0	NA	NA	NA	0.0526315789473684	0	1	0.833333333333333	NA	NA	0	NA	0	0.666666666666667	NA	NA	0	NA	0	NA	NA	NA	NA	NA	1	0	0	0.45	1	NA	1	0	0.666666666666667	0	0	NA	0.952380952380952	0	NA	NA	0	NA	NA	0	0	NA	0.866666666666667	1	NA	0	NA	0.254901960784314	NA	0	NA	0.923076923076923	1	0.19047619047619	NA	0	0	1	0	0	NA	NA	0	NA	1	0	1	0.91304347826087	0.0769230769230769	NA	NA	0.947368421052632	0	0.166666666666667	0	NA	0.25	0	NA	0	NA	0.142857142857143	NA	NA	NA	NA
K562.pool70.S1.L.TGTAGC	NA	0.583333333333333	NA	NA	0.166666666666667	1	0.0416666666666667	0.125	0	NA	1	NA	0	NA	0	0	0	1	1	1	0	NA	NA	NA	0.25	NA	NA	NA	NA	1	0	0	0	1	0.0714285714285714	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0.192307692307692	NA	NA	0	0.714285714285714	NA	NA	NA	NA	NA	1	NA	0	0	0	0	NA	0.230769230769231	1	1	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	0	NA	0.888888888888889	0	NA	NA	NA	0	NA	NA	0.0666666666666667	0.333333333333333	NA	NA	0	0	0
K562.pool70.S1.M.TTGGCA	NA	NA	0	NA	0	1	0	NA	NA	1	0.941176470588235	0.25	0.407407407407407	1	NA	0	0	NA	1	1	0	NA	0	0	0.25	NA	0.444444444444444	NA	0	0	0	0	0.1	0.923076923076923	NA	NA	0	NA	NA	NA	NA	1	NA	NA	0	NA	0	1	0.240740740740741	1	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	0.0555555555555556	0	NA	NA	NA	NA	NA	NA	1	0.117647058823529	NA	0.833333333333333	0	0	NA	0.1	0	NA	1	NA	NA	1	NA	0.166666666666667	1	NA	NA	NA	NA	1	0	0.111111111111111	0	0	0.0263157894736842	NA	NA	0	0.0833333333333333	NA
K562.pool70.S1.N.CTACTG	NA	0	NA	NA	0	1	NA	0.333333333333333	NA	0.928571428571429	1	NA	0.75	NA	NA	0.0909090909090909	NA	NA	NA	1	0.0833333333333333	0.25	0	NA	0.142857142857143	NA	0	0	1	NA	1	0	0	NA	0.176470588235294	1	NA	0	0	1	0	NA	0	0.928571428571429	0	0.0714285714285714	0	1	0	1	NA	NA	1	NA	NA	NA	0.333333333333333	NA	1	NA	0	NA	NA	0.590909090909091	0	0	0.909090909090909	NA	0.454545454545455	NA	NA	NA	NA	NA	0	0	NA	0	0.444444444444444	1	0.0238095238095238	NA	NA	NA	NA	0.9	NA	0	NA	NA	0.166666666666667	0	0	0.0526315789473684	0	0	NA	0	0.0769230769230769	NA	0
K562.pool70.S1.O.CATATG	0.222222222222222	NA	0	0.0526315789473684	0.5	1	0.02	NA	1	NA	0.962962962962963	0.142857142857143	0.111111111111111	NA	NA	0	0	1	NA	1	0	0.0416666666666666	NA	0	0	0	NA	0	NA	0	0.235294117647059	0.117647058823529	0	NA	NA	1	0	NA	NA	NA	0.266666666666667	1	0.25	0.833333333333333	NA	0.0909090909090909	0	0.9375	0	1	NA	0.142857142857143	NA	NA	0	0	NA	0.977777777777778	1	0	NA	0	NA	0	0.133333333333333	NA	1	0.914835164835165	1	0.857142857142857	0	0.0588235294117647	1	0.142857142857143	NA	0	0	0.321428571428571	NA	1	NA	NA	1	0.0588235294117647	0	0.888888888888889	NA	0.0833333333333333	NA	0	1	NA	0	0	NA	0	NA	0	0	0	NA
K562.pool70.S1.P.GTATAC	NA	NA	0	0	NA	1	NA	NA	0.333333333333333	NA	0.952380952380952	0.142857142857143	0.0333333333333333	0.789473684210526	0	0	NA	NA	0.958333333333333	1	0	0.0769230769230769	0.846153846153846	0	0	0.196078431372549	NA	0	NA	NA	NA	NA	0	0.970588235294118	0.375	NA	0.25	0	0.125	0.916666666666667	0	NA	NA	1	0	NA	NA	1	0.22	NA	0	0.588235294117647	0.980769230769231	NA	0.28030303030303	NA	NA	0.909090909090909	1	0	0	0	0.0454545454545455	NA	NA	0.625	1	NA	0	NA	0	NA	0.8	0	0	NA	0.5	0	0.222222222222222	NA	0.0714285714285714	NA	NA	0	0.0555555555555556	1	0.96969696969697	NA	NA	1	0	0	0.153846153846154	0.923076923076923	0.0555555555555556	NA	0	0	0	0.333333333333333	NA
K562.pool70.S1.Q.ACCTTC	0	NA	NA	NA	0	1	1	NA	NA	NA	1	NA	0.909090909090909	1	NA	0	0	1	1	NA	NA	0	0	NA	NA	NA	0	NA	0.464285714285714	NA	0.272727272727273	NA	0	NA	NA	1	0.3	0.2	0	NA	0	0.8	NA	NA	NA	NA	0	NA	NA	1	0	0	1	NA	0	NA	NA	0.85	1	0.0740740740740741	NA	NA	NA	0	0.2	0.0833333333333333	NA	1	0.166666666666667	NA	0	0	1	0	0	0	0	0.657894736842105	0	NA	NA	NA	0.777777777777778	NA	0	1	NA	NA	NA	NA	1	0	NA	0.6	NA	NA	NA	0	NA	0	NA
K562.pool70.S1.R.CTTCCA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.S.CGAATG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.T.AGCATC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.U.TACCGA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.V.CAAGGA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.X.CCGTAA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.Y.ATAGAC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.Z.AGGTCT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool71.S2.A.TAGCTT	0.0666666666666667	0	0	0.0526315789473684	0	1	NA	0.166666666666667	0.571428571428571	0.95	1	0	0.0370370370370371	NA	0.333333333333333	0	NA	1	1	1	0.2	0.111111111111111	0.474358974358974	NA	0.125	0.0457516339869281	0.235294117647059	0	NA	0	0	NA	0	0.923076923076923	0.181818181818182	1	0	NA	0	0.923076923076923	0.764705882352941	NA	0	1	0	0	0	NA	NA	1	NA	NA	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	1	NA	NA	0.117647058823529	0	1	0	0	0	0	NA	0.222222222222222	0.875	0	0.982456140350877	NA	0	0.0133333333333333	1	1	1	NA	0.5	0.236842105263158	0	0.142857142857143	NA	0	0	0	NA	0	0	0
